127.0.0.1 - - [13/Jul/2016:12:18:11 -0300] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:19:23 -0300] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:19:24 -0300] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:02 -0300] "GET /miteam HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:02 -0300] "GET /miteam/ HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:49 -0300] "GET /miteam/ HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:52 -0300] "GET /miteam/app HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:52 -0300] "GET /miteam/app/ HTTP/1.1" 200 28899
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:52 -0300] "GET /miteam/stylesheet/layout.css HTTP/1.1" 200 25067
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:52 -0300] "GET /miteam/stylesheet/bootstrap.css HTTP/1.1" 200 137010
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:52 -0300] "GET /miteam/plugins/modernizr/js/modernizr.js HTTP/1.1" 200 51351
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:52 -0300] "GET /miteam/stylesheet/uielement.css HTTP/1.1" 200 323815
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:52 -0300] "GET /miteam/javascript/angular.min.js HTTP/1.1" 200 147059
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:53 -0300] "GET /miteam/javascript/angular-resource.min.js HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:53 -0300] "GET /miteam/javascript/angular-route.min.js HTTP/1.1" 200 4390
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:53 -0300] "GET /miteam/javascript/vendor.js HTTP/1.1" 200 672938
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:53 -0300] "GET /miteam/javascript/core.js HTTP/1.1" 200 35399
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:53 -0300] "GET /miteam/javascript/backend/app.js HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:53 -0300] "GET /miteam/javascript/Aplicacion.js HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:53 -0300] "GET /miteam/js/DashboardController.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:53 -0300] "GET /miteam/javascript/controladores/UsuarioController.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:53 -0300] "GET /miteam/image/avatar/avatar7.jpg HTTP/1.1" 200 10770
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:53 -0300] "GET /miteam/image/avatar/avatar6.jpg HTTP/1.1" 200 11120
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:53 -0300] "GET /miteam/image/logo/logo-figure.png HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:53 -0300] "GET /miteam/image/logo/logo-text.png HTTP/1.1" 200 3379
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:53 -0300] "GET /miteam/stylesheet/fonts/iconfont.woff HTTP/1.1" 200 363024
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:55 -0300] "GET /miteam/js/DashboardController.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:55 -0300] "GET /miteam/stylesheet/fonts/iconfont.ttf HTTP/1.1" 200 396828
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:55 -0300] "GET /miteam/javascript/controladores/UsuarioController.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:55 -0300] "GET /miteam/app/inicio.html HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [13/Jul/2016:12:20:55 -0300] "GET /miteam/image/favicon.ico HTTP/1.1" 200 1150
